data_comp,model,item_feat,user_feat,components,num_epochs,learning_rate,Acc@1,Acc@5,Acc@10,Acc@50,Acc@100,MeanAcc,Coverage,Personalization,Novelty,ColdProb,ColdAcc@10,ColdAcc@50,ColdAcc@100,Training Time,Evaluation Time
UsersEmotions,lm_results,none,user_all,10,20,0.2,2.2062,9.1625,16.4453,46.353,61.3012,27.0936,9.33,79.76,3.99,0.0,0.0,0.0,0.0,23.4218,24.125
UsersEmotions,lm_results,none,user_all,10,5,0.3,2.0486,9.2864,16.2427,45.3624,60.6596,26.7199,7.49,78.41,3.99,0.0,0.0,0.0,0.0,6.0312,24.1413
UsersEmotions,lm_results,none,user_all,10,10,0.3,1.8122,9.1625,16.738,46.5781,61.4363,27.1454,9.79,80.35,4.04,0.0,0.0,0.0,0.0,11.7187,24.125
UsersEmotions,lm_results,none,user_all,10,20,0.3,2.3976,10.0518,17.796,48.8294,63.226,28.4602,12.82,84.13,4.17,0.0,0.0,0.0,0.0,22.5,24.0625
UsersEmotions,lm_results,item,none,10,5,0.01,0.7429,3.5682,5.9883,18.5615,27.0149,11.1752,0.72,10.38,3.82,0.0,0.0,0.0,0.0,1.8125,12.9687
UsersEmotions,lm_results,item,none,10,10,0.01,0.5178,3.6357,5.9095,18.3026,27.0036,11.0738,0.77,8.03,3.84,0.0,0.0,0.0,0.0,3.6094,12.9687
UsersEmotions,lm_results,item,none,10,20,0.01,1.0919,3.7933,6.3823,23.6493,35.0405,13.9915,1.18,3.82,3.51,0.0583,0.0,0.0,0.1754,7.0781,12.9531
UsersEmotions,lm_results,item,none,10,5,0.05,0.9793,4.2211,7.2715,29.5925,46.3643,17.6857,2.46,23.3,3.43,0.0392,0.0,0.3509,0.3509,1.625,12.9531
UsersEmotions,lm_results,item,none,10,10,0.05,0.9343,3.8721,7.4066,31.3372,47.9964,18.3093,2.56,30.89,3.41,0.01,0.0,0.0,0.0,3.0469,12.9687
UsersEmotions,lm_results,item,none,10,20,0.05,0.9455,4.6263,9.3877,34.7591,51.9698,20.3377,3.74,55.16,3.57,0.04,0.0,0.0,0.0,5.7031,12.9687
UsersEmotions,lm_results,item,none,10,5,0.1,0.9455,4.8402,9.7816,34.9617,51.9586,20.4975,3.85,59.29,3.61,0.0258,0.0,0.0,0.0,1.4844,12.9219
UsersEmotions,lm_results,item,none,10,10,0.1,0.9905,5.538,11.0423,38.0347,55.3354,22.1882,5.95,69.09,3.76,0.03,0.0,0.0,0.1754,3.5804,13.2656
UsersEmotions,lm_results,item,none,10,20,0.1,1.3282,6.2472,11.7064,39.3967,56.4498,23.0257,8.41,73.92,3.88,0.0275,0.0,0.0,0.0,5.3125,13.0937
UsersEmotions,lm_results,item,none,10,5,0.15,0.9005,5.1328,10.0293,35.7722,53.7708,21.1211,5.9,65.38,3.72,0.0267,0.0,0.0,0.0,1.4219,12.9687
UsersEmotions,lm_results,item,none,10,10,0.15,1.2494,5.7519,11.38,40.072,57.5754,23.2057,9.64,77.41,3.96,0.0092,0.0,0.0,0.0,2.6406,13.0781
UsersEmotions,lm_results,item,none,10,20,0.15,1.2044,6.2359,11.5601,40.1846,57.5304,23.3431,13.23,82.52,4.12,0.0033,0.0,0.0,0.0,4.8594,12.875
UsersEmotions,lm_results,item,none,10,5,0.2,1.0581,5.8532,11.1999,38.4286,55.5831,22.4246,8.87,77.06,3.96,0.01,0.0,0.0,0.0,1.3438,12.9611
UsersEmotions,lm_results,item,none,10,10,0.2,1.2157,5.8982,11.38,40.2184,56.8438,23.1112,13.38,82.4,4.13,0.0108,0.0,0.0,0.0,2.4687,12.875
UsersEmotions,lm_results,item,none,10,20,0.2,1.2719,6.326,12.1004,40.0045,57.2152,23.3836,17.18,86.29,4.3,0.0017,0.0,0.0,0.0,4.5469,12.8906
UsersEmotions,lm_results,item,none,10,5,0.3,0.968,5.5268,10.6596,38.136,55.4593,22.1499,13.18,82.12,4.14,0.005,0.0,0.0,0.0,1.2812,12.8594
UsersEmotions,lm_results,item,none,10,10,0.3,1.2269,5.7519,10.941,38.62,55.7632,22.4606,17.64,85.97,4.32,0.0008,0.0,0.0,0.0,2.3594,12.875
UsersEmotions,lm_results,item,none,10,20,0.3,1.0806,6.281,11.774,38.4286,55.009,22.5146,21.28,87.69,4.41,0.0,0.0,0.0,0.0,4.3281,12.8594
UsersEmotions,lm_results,item,user_all,10,5,0.01,1.0919,3.4444,5.9433,27.195,43.3251,16.1999,0.51,0.0,3.34,0.0,0.0,0.0,0.0,7.75,24.4531
