data_comp,model,item_feat,user_feat,layer_size_list,embedding_size,learning_rate,epochs,Acc@1,Acc@5,Acc@10,Acc@50,Acc@100,MeanAcc,RMSE,Coverage,Personalisation,Novelty,ColdProb,ColdAcc@10,ColdAcc@50,ColdAcc@100,Training Time,Evaluation Time
(batch size 2048 / 4096)
UsersEmotions,2tnn_results,No,No,[32],32,0.2,4,0.1351,1.5871,3.163,16.6141,28.692,10.0383,0.1976,45.28,97.0,7.92,0.0,0.0,0.0,0.0,19.6719,7.4375
UsersEmotions,2tnn_results,Yes,No,[16],32,0.01,12,0.394,2.2963,5.493,21.2629,33.1382,12.5169,0.2067,21.49,95.0,7.12,0.0033,0.0,0.0,0.3509,86.6322,8.375
UsersEmotions,2tnn_results,Yes,No,[16],32,0.1,4,0.5178,3.0279,6.2697,24.077,36.8978,14.158,0.2023,37.33,97.0,7.15,0.0,0.0,0.1754,0.7018,30.8125,8.3281
UsersEmotions,2tnn_results,Yes,No,[16],32,0.2,5,0.2364,1.9698,4.7163,20.1711,32.733,11.9653,0.1898,58.0,98.0,7.72,0.0,0.0,0.0,0.1754,38.1718,8.0937
UsersEmotions,2tnn_results,Yes,No,[32],32,0.01,14,0.5065,2.724,5.7744,21.792,33.4084,12.8411,0.204,28.77,96.0,7.22,0.0267,0.0,0.1754,0.5263,100.9406,8.1406
UsersEmotions,2tnn_results,Yes,No,[32],32,0.1,4,0.4953,3.0279,6.0783,23.4129,36.2787,13.8586,0.2039,41.95,98.0,7.23,0.0058,0.0,0.3509,0.7018,31.0958,8.0937
UsersEmotions,2tnn_results,Yes,No,[32],32,0.2,6,0.1126,1.6096,3.9284,17.7398,29.8402,10.6461,0.1843,62.51,99.0,7.82,0.0,0.0,0.3509,0.5263,45.1562,8.1094
UsersEmotions,2tnn_results,No,Yes,[16],32,0.01,19,0.4953,2.6452,5.0315,19.7096,31.9226,11.9608,0.1956,34.31,97.0,7.71,0.0,0.0,0.0,0.0,85.9218,12.0625
UsersEmotions,2tnn_results,No,Yes,[16],32,0.1,5,0.5065,2.9604,5.8532,22.7938,35.063,13.4354,0.1908,53.85,98.0,7.54,0.0,0.0,0.0,0.0,24.1406,11.9844
UsersEmotions,2tnn_results,No,Yes,[16],32,0.2,20,0.1126,1.0806,2.9829,19.4282,34.7704,11.6749,0.148,77.85,99.0,7.89,0.0,0.0,0.0,0.0,90.9999,12.0
UsersEmotions,2tnn_results,No,Yes,[32],32,0.01,20,0.5741,2.6452,5.1216,18.7641,30.0991,11.4408,0.201,48.05,98.0,7.73,0.0,0.0,0.0,0.0,90.8593,12.0
UsersEmotions,2tnn_results,No,Yes,[32],32,0.1,4,0.6078,3.1517,6.0896,23.2778,36.0086,13.8271,0.2014,41.69,97.0,7.26,0.0,0.0,0.0,0.0,19.9844,12.0781
UsersEmotions,2tnn_results,No,Yes,[32],32,0.2,20,0.0563,0.7204,2.4876,17.7285,32.2602,10.6506,0.1505,77.59,99.0,7.95,0.0,0.0,0.0,0.0,91.6093,11.9844
UsersEmotions,2tnn_results,Yes,Yes,[16],32,0.01,20,0.6529,3.9397,6.8438,23.1427,34.579,13.8316,0.1931,45.38,98.0,7.31,0.0008,0.0,0.0,0.0,143.0976,12.6406
UsersEmotions,2tnn_results,Yes,Yes,[16],32,0.1,4,0.529,3.3994,6.5286,24.5047,36.5939,14.3111,0.2034,44.56,98.0,7.21,0.0,0.0,0.0,0.5263,31.2656,12.6094
UsersEmotions,2tnn_results,Yes,Yes,[16],32,0.2,20,0.1801,1.4295,3.6357,20.0135,34.489,11.9496,0.1481,77.08,99.0,7.89,0.0,0.0,0.0,0.0,143.439,12.6094
UsersEmotions,2tnn_results,Yes,Yes,[32],32,0.01,4,0.4052,2.8703,5.8645,19.9009,29.8514,11.7785,0.2942,20.15,89.0,6.3,0.1508,0.0,1.2281,5.0877,31.5625,12.9062
UsersEmotions,2tnn_results,Yes,Yes,[32],32,0.1,5,0.4052,2.7353,5.6956,21.9045,34.6803,13.0842,0.1981,58.77,98.0,7.42,0.0,0.0,0.0,0.3509,38.2686,12.9687
UsersEmotions,2tnn_results,Yes,Yes,[32],32,0.2,20,0.09,0.7654,2.2963,17.796,32.0914,10.6078,0.1505,77.49,99.0,7.92,0.0,0.0,0.1754,0.3509,144.3444,12.6406
UsersEmotions,2tnn_results,No,No,[16],64,0.01,6,0.4953,2.3188,4.5362,22.1972,34.6128,12.8321,0.2253,9.08,88.0,6.71,0.0,0.0,0.0,0.0,28.5781,9.7031
UsersEmotions,2tnn_results,No,No,[16],64,0.1,4,0.3152,2.3413,5.0428,21.2967,34.2526,12.6497,0.1962,36.97,97.0,7.33,0.0,0.0,0.0,0.0,20.0312,9.7187
UsersEmotions,2tnn_results,No,No,[16],64,0.2,20,0.0788,1.0356,2.8478,18.7866,32.3053,11.0108,0.1488,76.36,99.0,7.97,0.0,0.0,0.0,0.0,91.9843,9.9062
