data_comp,model,num_factors,num_epochs,learning_rate,Acc@1,Acc@5,Acc@10,Acc@50,Acc@100,MeanAcc,Coverage,Personalization,Novelty,ColdProb,ColdAcc@10,ColdAcc@50,ColdAcc@100,TrainingTime,EvaluationTime
UsersEmotions,svd,10,10,0.001,0.5966,2.8816,5.6844,18.0774,25.1801,10.484,5.38,49.86,3.94,0.0,0.0,0.0,0.0,0.4375,171.2498
UsersEmotions,svd,10,20,0.001,0.5853,2.7803,5.2904,17.312,26.1481,10.4232,4.56,51.73,4.14,0.0,0.0,0.0,0.0,0.8281,168.1092
UsersEmotions,svd,10,10,0.01,0.4953,1.891,3.4444,13.4624,21.4205,8.1427,7.08,57.32,5.16,0.0,0.0,0.0,0.0,0.4219,167.5154
UsersEmotions,svd,10,20,0.01,0.3377,1.2832,2.4088,11.2562,18.5389,6.765,7.64,56.24,6.26,0.0,0.0,0.0,0.0,0.8437,165.6561
UsersEmotions,svd,10,10,0.1,0.2814,0.7317,1.2719,7.3278,12.4606,4.4147,12.21,44.08,8.0,0.0242,0.0,0.0,0.0,0.4219,166.4373
UsersEmotions,svd,10,20,0.1,0.1013,0.5966,0.7654,5.9433,12.0104,3.8834,9.49,39.84,8.93,0.0,0.0,0.0,0.0,0.9375,169.4373
UsersAll,svd,10,10,0.001,0.5139,2.5732,4.7209,15.9382,23.8511,9.5194,8.16,51.29,3.04,0.0,0.0,0.0,0.0,2.6094,435.3432
UsersAll,svd,10,20,0.001,0.4881,2.2914,4.3359,14.0649,21.2669,8.4894,9.31,47.88,3.42,0.0,0.0,0.0,0.0,5.0469,425.4995
UsersAll,svd,10,10,0.01,0.3039,1.7461,3.1534,11.1658,17.828,6.8394,8.66,37.84,4.46,0.0,0.0,0.0,0.0,2.5,427.2026
UsersAll,svd,10,20,0.01,0.3168,1.6264,3.0208,10.3645,16.9199,6.4497,8.11,35.49,4.49,0.0,0.0,0.0,0.0,4.9844,416.062
UsersAll,svd,10,10,0.1,0.2744,1.3907,2.9471,11.5433,19.3605,7.1032,7.21,16.16,3.68,0.0,0.0,0.0,0.0,2.5781,420.9995
UsersAll,svd,10,20,0.1,0.2763,1.3593,2.564,11.3352,17.7488,6.6567,7.16,23.34,4.13,0.0,0.0,0.0,0.0,4.9687,422.1089

UsersEmotions,svdpp,default,default,default,0.0411,0.1096,0.2465,1.5612,3.547,1.1011,0.1772,23.64,88.43,8.59,0.0,0.0,0.0,0.0,25.7156,284.2866
UsersEmotions,svdpp,default,default,default,0.1233,0.9586,2.0542,12.298,20.378,7.1624,0.1399,15.23,71.56,6.26,0.0,0.0,0.0,0.0,25.8304,278.9105
UsersAll,svdpp,default,default,default,0.1707,0.9696,2.1581,8.9715,15.9119,5.6364,0.1234,15.82,60.74,5.42,0.0,0.0,0.0,0.0,323.5731,877.6513

SENTIMENT_RATING
UsersEmotions,svd,10,10,0.005,0.1463,0.439,0.9005,4.1423,8.4196,2.8095,19.74,81.94,7.54,0.0,0.0,0.0,0.0,0.4219,169.7654
UsersAll,svd,10,10,0.005,0.0184,0.1345,0.3168,1.5122,3.0705,1.0105,30.15,93.47,7.7,0.0,0.0,0.0,0.0,2.6094,437.4839


Final Testing Results
data_comp,model,num_factors,num_epochs,learning_rate,Acc@1,Acc@5,Acc@10,Acc@50,Acc@100,MeanAcc,RMSE,Coverage,Personalization,Novelty,ColdProb,ColdAcc@10,ColdAcc@50,ColdAcc@100,TrainingTime,EvaluationTime
UsersEmotionsRatings,svd,10,10,0.001,0.808,3.3279,5.8614,20.1315,28.0882,11.6434,0.1553,4.77,50.44,3.96,0.0,0.0,0.0,0.0,0.4219,168.7558
UsersAllRatings,svd,10,10,0.001,0.4684,2.6352,4.9158,16.9472,25.122,10.0177,0.132,8.21,53.65,3.04,0.0,0.0,0.0,0.0,2.6094,430.0307
UsersEmotionsSentiment,svd,10,10,0.001,0.2465,1.0408,2.0953,7.4363,12.2158,4.607,0.1786,32.72,91.96,6.98,0.0,0.0,0.0,0.0,0.4219,164.8809
UsersAllSentiment,svd,10,10,0.001,0.035,0.186,0.4246,2.4032,5.2288,1.6555,0.087,39.51,96.15,7.27,0.0,0.0,0.0,0.0,2.6094,421.023
UsersEmotionsCombined,svd,10,10,0.001,0.5067,2.8075,4.9712,14.2838,20.9121,8.6962,0.1327,20.72,74.27,4.9,0.0,0.0,0.0,0.0,0.4375,169.5013
UsersAllCombined,svd,10,10,0.001,0.3765,1.5868,2.865,10.5365,17.1179,6.4965,0.084,27.39,81.71,4.54,0.0,0.0,0.0,0.0,2.6094,424.742

UsersEmotionsCombined,svd,10,10,0.001,0.4519,2.917,5.3684,14.8726,21.186,8.9592,0.1322,20.41,75.79,5.03,0.0,0.0,0.0,0.0,0.4531,169.5866
UsersAllCombined,svd,10,10,0.001,0.4728,2.4973,4.4869,15.9645,24.0167,9.4876,0.1307,10.22,57.69,3.23,0.0,0.0,0.0,0.0,2.6094,426.9694
